"TIMESTAMP","RECORD","TA_2_1_1","TA_IU_2_1_1","RH_2_1_1","RH_IU_2_1_1"
"20250822000030",2646223,11.25,512.5,98.5,985
"20250822000100",2646224,11.35,513.5,98.4,984
"20250822000130",2646225,11.25,512.5,97.9,979
"20250822000200",2646226,11.29,512.9,98.4,984
"20250822000230",2646227,11.23,512.3,98.1,981
"20250822000300",2646228,11.2,512,98.5,985
"20250822000330",2646229,11.22,512.2,98.5,985
"20250822000400",2646230,11.2,512,98.5,985
"20250822000430",2646231,11.21,512.1,98.5,985
"20250822000500",2646232,11.14,511.4,98.3,983
"20250822000530",2646233,11.23,512.3,98.5,985
"20250822000600",2646234,11.18,511.8,98.3,983
"20250822000630",2646235,11.17,511.7,98.5,985
"20250822000700",2646236,11.12,511.2,98.4,984
"20250822000730",2646237,11.09,510.9,98.6,986
"20250822000800",2646238,11.11,511.1,98.8,988
"20250822000830",2646239,11.11,511.1,98.7,987
"20250822000900",2646240,11.16,511.6,98.7,987
"20250822000930",2646241,11.13,511.3,98.7,987
"20250822001000",2646242,11.1,511,98.7,987
"20250822001030",2646243,11.03,510.3,98.7,987
"20250822001100",2646244,11.02,510.2,98.9,989
"20250822001130",2646245,10.97,509.7,99,990
"20250822001200",2646246,10.85,508.5,99,990
"20250822001230",2646247,10.73,507.3,98.9,989
"20250822001300",2646248,10.58,505.8,99.2,992
"20250822001330",2646249,10.3,503,99,990
"20250822001400",2646250,9.95,499.5,99.3,993
"20250822001430",2646251,9.66,496.6,100,1000
"20250822001500",2646252,9.61,496.1,100.6,1006
"20250822001530",2646253,9.69,496.9,100.6,1006
"20250822001600",2646254,9.49,494.9,100.6,1006
"20250822001630",2646255,9.38,493.8,100.6,1006
"20250822001700",2646256,9.28,492.8,100.6,1006
"20250822001730",2646257,9.32,493.2,100.6,1006
"20250822001800",2646258,9.22,492.2,100.6,1006
"20250822001830",2646259,9.22,492.2,100.6,1006
"20250822001900",2646260,9.13,491.3,100.6,1006
"20250822001930",2646261,9.13,491.3,100.6,1006
"20250822002000",2646262,9.14,491.4,100.6,1006
"20250822002030",2646263,9.21,492.1,100.6,1006
"20250822002100",2646264,9.12,491.2,100.6,1006
"20250822002130",2646265,9.18,491.8,100.6,1006
"20250822002200",2646266,9.23,492.3,100.6,1006
"20250822002230",2646267,9.28,492.8,100.6,1006
"20250822002300",2646268,9.45,494.5,100.6,1006
"20250822002330",2646269,9.6,496,100.6,1006
"20250822002400",2646270,9.77,497.7,100.6,1006
"20250822002430",2646271,9.76,497.6,100.6,1006
"20250822002500",2646272,9.84,498.4,100.6,1006
"20250822002530",2646273,9.96,499.6,100.6,1006
"20250822002600",2646274,10.04,500.4,100.6,1006
"20250822002630",2646275,10.15,501.5,100.6,1006
"20250822002700",2646276,10.18,501.8,100.6,1006
"20250822002730",2646277,10.27,502.7,100.6,1006
"20250822002800",2646278,10.3,503,100.6,1006
"20250822002830",2646279,10.33,503.3,100.6,1006
"20250822002900",2646280,10.37,503.7,100.6,1006
"20250822002930",2646281,10.33,503.3,100.6,1006
"20250822003000",2646282,10.45,504.5,100.6,1006
"20250822003030",2646283,10.51,505.1,100.6,1006
"20250822003100",2646284,10.58,505.8,100.6,1006
"20250822003130",2646285,10.58,505.8,100.6,1006
"20250822003200",2646286,10.59,505.9,100.6,1006
"20250822003230",2646287,10.63,506.3,100.6,1006
"20250822003300",2646288,10.64,506.4,100.6,1006
"20250822003330",2646289,10.76,507.6,100.6,1006
"20250822003400",2646290,10.82,508.2,100.6,1006
"20250822003430",2646291,10.79,507.9,100.6,1006
"20250822003500",2646292,10.79,507.9,100.6,1006
"20250822003530",2646293,10.84,508.4,100.6,1006
"20250822003600",2646294,10.84,508.4,100.6,1006
"20250822003630",2646295,10.85,508.5,100.6,1006
"20250822003700",2646296,10.84,508.4,100.6,1006
"20250822003730",2646297,10.84,508.4,100.6,1006
"20250822003800",2646298,10.8,508,100.6,1006
"20250822003830",2646299,10.85,508.5,100.6,1006
"20250822003900",2646300,10.89,508.9,100.6,1006
"20250822003930",2646301,10.86,508.6,100.6,1006
"20250822004000",2646302,10.88,508.8,100.6,1006
"20250822004030",2646303,10.91,509.1,100.6,1006
"20250822004100",2646304,10.95,509.5,100.6,1006
"20250822004130",2646305,10.97,509.7,100.5,1005
"20250822004200",2646306,10.97,509.7,100.3,1003
"20250822004230",2646307,10.88,508.8,100.3,1003
"20250822004300",2646308,10.88,508.8,100.5,1005
"20250822004330",2646309,10.85,508.5,100.5,1005
"20250822004400",2646310,10.83,508.3,100.6,1006
"20250822004430",2646311,10.84,508.4,100.6,1006
"20250822004500",2646312,10.85,508.5,100.6,1006
"20250822004530",2646313,10.88,508.8,100.6,1006
"20250822004600",2646314,10.9,509,100.6,1006
"20250822004630",2646315,10.88,508.8,100.6,1006
"20250822004700",2646316,10.9,509,100.6,1006
"20250822004730",2646317,10.94,509.4,100.6,1006
"20250822004800",2646318,10.95,509.5,100.6,1006
"20250822004830",2646319,10.96,509.6,100.6,1006
"20250822004900",2646320,10.99,509.9,100.6,1006
"20250822004930",2646321,11.01,510.1,100.6,1006
"20250822005000",2646322,11.02,510.2,100.6,1006
"20250822005030",2646323,11.03,510.3,100.6,1006
"20250822005100",2646324,11.05,510.5,100.6,1006
"20250822005130",2646325,11.01,510.1,100.4,1004
"20250822005200",2646326,11.03,510.3,100.6,1006
"20250822005230",2646327,11.03,510.3,100.5,1005
"20250822005300",2646328,11.09,510.9,100.5,1005
"20250822005330",2646329,11.09,510.9,100.6,1006
"20250822005400",2646330,11.09,510.9,100.5,1005
"20250822005430",2646331,11.07,510.7,100.6,1006
"20250822005500",2646332,11.1,511,100.5,1005
"20250822005530",2646333,11.09,510.9,100.6,1006
"20250822005600",2646334,11.1,511,100.6,1006
"20250822005630",2646335,11.07,510.7,100.5,1005
"20250822005700",2646336,11.11,511.1,100.6,1006
"20250822005730",2646337,11.15,511.5,100.6,1006
"20250822005800",2646338,11.15,511.5,100.5,1005
"20250822005830",2646339,11.16,511.6,100.3,1003
"20250822005900",2646340,11.13,511.3,100.4,1004
"20250822005930",2646341,11.12,511.2,100.5,1005
"20250822010000",2646342,11.14,511.4,100.6,1006
"20250822010030",2646343,11.15,511.5,100.5,1005
"20250822010100",2646344,11.14,511.4,100.5,1005
"20250822010130",2646345,11.14,511.4,100.4,1004
"20250822010200",2646346,11.14,511.4,100.5,1005
"20250822010230",2646347,11.18,511.8,100.5,1005
"20250822010300",2646348,11.14,511.4,100.4,1004
"20250822010330",2646349,11.14,511.4,100.6,1006
"20250822010400",2646350,11.13,511.3,100.6,1006
"20250822010430",2646351,11.13,511.3,100.5,1005
"20250822010500",2646352,11.18,511.8,100.6,1006
"20250822010530",2646353,11.18,511.8,100.5,1005
"20250822010600",2646354,11.18,511.8,100.3,1003
"20250822010630",2646355,11.14,511.4,100.2,1002
"20250822010700",2646356,11.12,511.2,100.3,1003
"20250822010730",2646357,11.11,511.1,100.4,1004
"20250822010800",2646358,11.08,510.8,100.4,1004
"20250822010830",2646359,11.05,510.5,100.5,1005
"20250822010900",2646360,11.01,510.1,100.6,1006
"20250822010930",2646361,10.98,509.8,100.6,1006
"20250822011000",2646362,10.95,509.5,100.6,1006
"20250822011030",2646363,10.9,509,100.6,1006
"20250822011100",2646364,10.85,508.5,100.6,1006
"20250822011130",2646365,10.84,508.4,100.6,1006
"20250822011200",2646366,10.78,507.8,100.6,1006
"20250822011230",2646367,10.8,508,100.6,1006
"20250822011300",2646368,10.8,508,100.6,1006
"20250822011330",2646369,10.79,507.9,100.6,1006
"20250822011400",2646370,10.84,508.4,100.6,1006
"20250822011430",2646371,10.78,507.8,100.6,1006
"20250822011500",2646372,10.75,507.5,100.6,1006
"20250822011530",2646373,10.77,507.7,100.6,1006
"20250822011600",2646374,10.73,507.3,100.6,1006
"20250822011630",2646375,10.77,507.7,100.6,1006
"20250822011700",2646376,10.8,508,100.6,1006
"20250822011730",2646377,10.81,508.1,100.6,1006
