"TIMESTAMP","RECORD","P_13_1_1"
"20250822000030",2523881,0
"20250822000100",2523882,0
"20250822000130",2523883,0
"20250822000200",2523884,0
"20250822000230",2523885,0
"20250822000300",2523886,0
"20250822000330",2523887,0
"20250822000400",2523888,0
"20250822000430",2523889,0
"20250822000500",2523890,0
"20250822000530",2523891,0
"20250822000600",2523892,0
"20250822000630",2523893,0
"20250822000700",2523894,0
"20250822000730",2523895,0
"20250822000800",2523896,0
"20250822000830",2523897,0
"20250822000900",2523898,0
"20250822000930",2523899,0
"20250822001000",2523900,0
"20250822001030",2523901,0
"20250822001100",2523902,0
"20250822001130",2523903,0
"20250822001200",2523904,0
"20250822001230",2523905,0
"20250822001300",2523906,0
"20250822001330",2523907,0
"20250822001400",2523908,0
"20250822001430",2523909,0
"20250822001500",2523910,0
"20250822001530",2523911,0
"20250822001600",2523912,0
"20250822001630",2523913,0
"20250822001700",2523914,0
"20250822001730",2523915,0
"20250822001800",2523916,0
"20250822001830",2523917,0
"20250822001900",2523918,0
"20250822001930",2523919,0
"20250822002000",2523920,0
"20250822002030",2523921,0
"20250822002100",2523922,0
"20250822002130",2523923,0
"20250822002200",2523924,0
"20250822002230",2523925,0
"20250822002300",2523926,0
"20250822002330",2523927,0
"20250822002400",2523928,0
"20250822002430",2523929,0
"20250822002500",2523930,0
"20250822002530",2523931,0
"20250822002600",2523932,0
"20250822002630",2523933,0
"20250822002700",2523934,0
"20250822002730",2523935,0
"20250822002800",2523936,0
"20250822002830",2523937,0
"20250822002900",2523938,0
"20250822002930",2523939,0
"20250822003000",2523940,0
"20250822003030",2523941,0
"20250822003100",2523942,0
"20250822003130",2523943,0
"20250822003200",2523944,0
"20250822003230",2523945,0
"20250822003300",2523946,0
"20250822003330",2523947,0
"20250822003400",2523948,0
"20250822003430",2523949,0
"20250822003500",2523950,0
"20250822003530",2523951,0
"20250822003600",2523952,0
"20250822003630",2523953,0
"20250822003700",2523954,0
"20250822003730",2523955,0
"20250822003800",2523956,0
"20250822003830",2523957,0
"20250822003900",2523958,0
"20250822003930",2523959,0
"20250822004000",2523960,0
"20250822004030",2523961,0
"20250822004100",2523962,0
"20250822004130",2523963,0
"20250822004200",2523964,0
"20250822004230",2523965,0
"20250822004300",2523966,0
"20250822004330",2523967,0
"20250822004400",2523968,0
"20250822004430",2523969,0
"20250822004500",2523970,0
"20250822004530",2523971,0
"20250822004600",2523972,0
"20250822004630",2523973,0
"20250822004700",2523974,0
"20250822004730",2523975,0
"20250822004800",2523976,0
"20250822004830",2523977,0
"20250822004900",2523978,0
"20250822004930",2523979,0
"20250822005000",2523980,0
"20250822005030",2523981,0
"20250822005100",2523982,0
"20250822005130",2523983,0
"20250822005200",2523984,0
"20250822005230",2523985,0
"20250822005300",2523986,0
"20250822005330",2523987,0
"20250822005400",2523988,0
"20250822005430",2523989,0
"20250822005500",2523990,0
"20250822005530",2523991,0
"20250822005600",2523992,0
"20250822005630",2523993,0
"20250822005700",2523994,0
"20250822005730",2523995,0
"20250822005800",2523996,0
"20250822005830",2523997,0
"20250822005900",2523998,0
"20250822005930",2523999,0
"20250822010000",2524000,0
"20250822010030",2524001,0
"20250822010100",2524002,0
"20250822010130",2524003,0
"20250822010200",2524004,0
"20250822010230",2524005,0
"20250822010300",2524006,0
"20250822010330",2524007,0
"20250822010400",2524008,0
"20250822010430",2524009,0
"20250822010500",2524010,0
"20250822010530",2524011,0
"20250822010600",2524012,0
"20250822010630",2524013,0
"20250822010700",2524014,0
"20250822010730",2524015,0
"20250822010800",2524016,0
"20250822010830",2524017,0
"20250822010900",2524018,0
"20250822010930",2524019,0
"20250822011000",2524020,0
"20250822011030",2524021,0
"20250822011100",2524022,0
"20250822011130",2524023,0
"20250822011200",2524024,0
"20250822011230",2524025,0
"20250822011300",2524026,0
"20250822011330",2524027,0
"20250822011400",2524028,0
"20250822011430",2524029,0
"20250822011500",2524030,0
"20250822011530",2524031,0
"20250822011600",2524032,0
"20250822011630",2524033,0
"20250822011700",2524034,0
"20250822011730",2524035,0
"20250822011800",2524036,0
"20250822011830",2524037,0
"20250822011900",2524038,0
"20250822011930",2524039,0
"20250822012000",2524040,0
"20250822012030",2524041,0
"20250822012100",2524042,0
"20250822012130",2524043,0
"20250822012200",2524044,0
"20250822012230",2524045,0
"20250822012300",2524046,0
"20250822012330",2524047,0
"20250822012400",2524048,0
"20250822012430",2524049,0
"20250822012500",2524050,0
"20250822012530",2524051,0
"20250822012600",2524052,0
"20250822012630",2524053,0
"20250822012700",2524054,0
"20250822012730",2524055,0
"20250822012800",2524056,0
"20250822012830",2524057,0
"20250822012900",2524058,0
"20250822012930",2524059,0
"20250822013000",2524060,0
"20250822013030",2524061,0
"20250822013100",2524062,0
"20250822013130",2524063,0
"20250822013200",2524064,0
"20250822013230",2524065,0
"20250822013300",2524066,0
"20250822013330",2524067,0
"20250822013400",2524068,0
"20250822013430",2524069,0
"20250822013500",2524070,0
"20250822013530",2524071,0
"20250822013600",2524072,0
"20250822013630",2524073,0
"20250822013700",2524074,0
"20250822013730",2524075,0
"20250822013800",2524076,0
"20250822013830",2524077,0
"20250822013900",2524078,0
"20250822013930",2524079,0
"20250822014000",2524080,0
"20250822014030",2524081,0
"20250822014100",2524082,0
"20250822014130",2524083,0
"20250822014200",2524084,0
"20250822014230",2524085,0
"20250822014300",2524086,0
"20250822014330",2524087,0
"20250822014400",2524088,0
"20250822014430",2524089,0
"20250822014500",2524090,0
"20250822014530",2524091,0
"20250822014600",2524092,0
"20250822014630",2524093,0
"20250822014700",2524094,0
"20250822014730",2524095,0
"20250822014800",2524096,0
"20250822014830",2524097,0
"20250822014900",2524098,0
"20250822014930",2524099,0
"20250822015000",2524100,0
"20250822015030",2524101,0
"20250822015100",2524102,0
"20250822015130",2524103,0
"20250822015200",2524104,0
"20250822015230",2524105,0
"20250822015300",2524106,0
"20250822015330",2524107,0
"20250822015400",2524108,0
"20250822015430",2524109,0
"20250822015500",2524110,0
"20250822015530",2524111,0
"20250822015600",2524112,0
"20250822015630",2524113,0
"20250822015700",2524114,0
"20250822015730",2524115,0
"20250822015800",2524116,0
"20250822015830",2524117,0
"20250822015900",2524118,0
"20250822015930",2524119,0
"20250822020000",2524120,0
"20250822020030",2524121,0
"20250822020100",2524122,0
"20250822020130",2524123,0
"20250822020200",2524124,0
"20250822020230",2524125,0
"20250822020300",2524126,0
"20250822020330",2524127,0
"20250822020400",2524128,0
"20250822020430",2524129,0
"20250822020500",2524130,0
"20250822020530",2524131,0
"20250822020600",2524132,0
"20250822020630",2524133,0
"20250822020700",2524134,0
"20250822020730",2524135,0
