"TIMESTAMP","RECORD","SW_IN_7_1_1","SW_IN_IU_7_1_1"
"20260126000020",4464043,0.005,0
"20260126000040",4464044,-0.103,-0.001
"20260126000100",4464045,-0.021,0
"20260126000120",4464046,-0.067,-0.001
"20260126000140",4464047,-0.113,-0.001
"20260126000200",4464048,0.075,0.001
"20260126000220",4464049,0.034,0
"20260126000240",4464050,-0.001,0
"20260126000300",4464051,-0.098,-0.001
"20260126000320",4464052,-0.128,-0.001
"20260126000340",4464053,-0.181,-0.002
"20260126000400",4464054,-0.237,-0.002
"20260126000420",4464055,-0.079,-0.001
"20260126000440",4464056,0.114,0.001
"20260126000500",4464057,-0.037,0
"20260126000520",4464058,0.137,0.001
"20260126000540",4464059,-0.226,-0.002
"20260126000600",4464060,-0.179,-0.002
"20260126000620",4464061,-0.018,0
"20260126000640",4464062,0.003,0
"20260126000700",4464063,-0.166,-0.002
"20260126000720",4464064,-0.129,-0.001
"20260126000740",4464065,0.002,0
"20260126000800",4464066,0.001,0
"20260126000820",4464067,-0.005,0
"20260126000840",4464068,-0.162,-0.002
"20260126000900",4464069,-0.026,0
"20260126000920",4464070,-0.007,0
"20260126000940",4464071,0.008,0
"20260126001000",4464072,-0.106,-0.001
"20260126001020",4464073,-0.027,0
"20260126001040",4464074,-0.147,-0.001
"20260126001100",4464075,-0.031,0
"20260126001120",4464076,-0.045,0
"20260126001140",4464077,-0.212,-0.002
"20260126001200",4464078,0.049,0
"20260126001220",4464079,-0.017,0
"20260126001240",4464080,-0.115,-0.001
"20260126001300",4464081,-0.326,-0.003
"20260126001320",4464082,0.051,0.001
"20260126001340",4464083,0.056,0.001
"20260126001400",4464084,0.015,0
"20260126001420",4464085,-0.172,-0.002
"20260126001440",4464086,0.032,0
"20260126001500",4464087,0.089,0.001
"20260126001520",4464088,-0.339,-0.003
"20260126001540",4464089,0.129,0.001
"20260126001600",4464090,-0.036,0
"20260126001620",4464091,-0.048,0
"20260126001640",4464092,-0.011,0
"20260126001700",4464093,-0.021,0
"20260126001720",4464094,-0.205,-0.002
"20260126001740",4464095,0.126,0.001
"20260126001800",4464096,-0.274,-0.003
"20260126001820",4464097,0.051,0.001
"20260126001840",4464098,-0.036,0
"20260126001900",4464099,-0.116,-0.001
"20260126001920",4464100,0.006,0
"20260126001940",4464101,-0.153,-0.002
"20260126002000",4464102,-0.171,-0.002
"20260126002020",4464103,-0.098,-0.001
"20260126002040",4464104,-0.329,-0.003
"20260126002100",4464105,-0.041,0
"20260126002120",4464106,0.103,0.001
"20260126002140",4464107,-0.073,-0.001
"20260126002200",4464108,0.016,0
"20260126002220",4464109,-0.044,0
"20260126002240",4464110,-0.203,-0.002
"20260126002300",4464111,-0.182,-0.002
"20260126002320",4464112,-0.022,0
"20260126002340",4464113,-0.2,-0.002
"20260126002400",4464114,-0.026,0
"20260126002420",4464115,-0.179,-0.002
"20260126002440",4464116,-0.237,-0.002
"20260126002500",4464117,-0.144,-0.001
"20260126002520",4464118,-0.114,-0.001
"20260126002540",4464119,-0.285,-0.003
"20260126002600",4464120,0.005,0
"20260126002620",4464121,-0.077,-0.001
"20260126002640",4464122,-0.243,-0.002
"20260126002700",4464123,-0.22,-0.002
"20260126002720",4464124,-0.083,-0.001
"20260126002740",4464125,-0.067,-0.001
"20260126002800",4464126,-0.122,-0.001
"20260126002820",4464127,-0.052,-0.001
"20260126002840",4464128,-0.19,-0.002
"20260126002900",4464129,-0.12,-0.001
"20260126002920",4464130,-0.037,0
"20260126002940",4464131,0.162,0.002
"20260126003000",4464132,-0.188,-0.002
"20260126003020",4464133,-0.02,0
"20260126003040",4464134,-0.137,-0.001
"20260126003100",4464135,-0.06,-0.001
"20260126003120",4464136,-0.081,-0.001
"20260126003140",4464137,-0.079,-0.001
"20260126003200",4464138,-0.064,-0.001
"20260126003220",4464139,-0.244,-0.002
"20260126003240",4464140,-0.037,0
"20260126003300",4464141,-0.192,-0.002
"20260126003320",4464142,-0.1,-0.001
"20260126003340",4464143,0.027,0
"20260126003400",4464144,-0.05,0
"20260126003420",4464145,-0.087,-0.001
"20260126003440",4464146,0.001,0
"20260126003500",4464147,-0.273,-0.003
"20260126003520",4464148,-0.093,-0.001
"20260126003540",4464149,-0.136,-0.001
"20260126003600",4464150,-0.091,-0.001
"20260126003620",4464151,-0.17,-0.002
"20260126003640",4464152,-0.072,-0.001
"20260126003700",4464153,-0.067,-0.001
"20260126003720",4464154,0.009,0
"20260126003740",4464155,0.047,0
"20260126003800",4464156,-0.147,-0.001
"20260126003820",4464157,0.109,0.001
"20260126003840",4464158,-0.029,0
"20260126003900",4464159,-0.225,-0.002
"20260126003920",4464160,-0.006,0
"20260126003940",4464161,0.052,0.001
"20260126004000",4464162,-0.114,-0.001
"20260126004020",4464163,0.028,0
"20260126004040",4464164,-0.144,-0.001
"20260126004100",4464165,-0.026,0
"20260126004120",4464166,-0.144,-0.001
"20260126004140",4464167,0.055,0.001
"20260126004200",4464168,0.058,0.001
"20260126004220",4464169,-0.123,-0.001
"20260126004240",4464170,-0.114,-0.001
"20260126004300",4464171,-0.086,-0.001
"20260126004320",4464172,-0.062,-0.001
"20260126004340",4464173,-0.199,-0.002
"20260126004400",4464174,-0.017,0
"20260126004420",4464175,-0.231,-0.002
"20260126004440",4464176,-0.262,-0.003
"20260126004500",4464177,-0.177,-0.002
"20260126004520",4464178,-0.223,-0.002
"20260126004540",4464179,-0.038,0
"20260126004600",4464180,-0.24,-0.002
"20260126004620",4464181,0.012,0
"20260126004640",4464182,-0.12,-0.001
"20260126004700",4464183,-0.111,-0.001
"20260126004720",4464184,-0.071,-0.001
"20260126004740",4464185,-0.167,-0.002
"20260126004800",4464186,-0.061,-0.001
"20260126004820",4464187,-0.088,-0.001
"20260126004840",4464188,0.069,0.001
"20260126004900",4464189,-0.031,0
"20260126004920",4464190,-0.159,-0.002
"20260126004940",4464191,-0.007,0
"20260126005000",4464192,0.127,0.001
"20260126005020",4464193,-0.083,-0.001
"20260126005040",4464194,0.031,0
"20260126005100",4464195,-0.099,-0.001
"20260126005120",4464196,-0.122,-0.001
"20260126005140",4464197,-0.034,0
"20260126005200",4464198,-0.06,-0.001
"20260126005220",4464199,-0.204,-0.002
"20260126005240",4464200,0.086,0.001
"20260126005300",4464201,-0.095,-0.001
"20260126005320",4464202,-0.113,-0.001
"20260126005340",4464203,-0.201,-0.002
"20260126005400",4464204,0.036,0
"20260126005420",4464205,-0.211,-0.002
"20260126005440",4464206,-0.07,-0.001
"20260126005500",4464207,-0.127,-0.001
"20260126005520",4464208,-0.152,-0.002
"20260126005540",4464209,-0.229,-0.002
"20260126005600",4464210,-0.055,-0.001
"20260126005620",4464211,0.1,0.001
"20260126005640",4464212,-0.107,-0.001
"20260126005700",4464213,0.031,0
"20260126005720",4464214,-0.011,0
"20260126005740",4464215,0.036,0
"20260126005800",4464216,0.099,0.001
"20260126005820",4464217,-0.147,-0.001
"20260126005840",4464218,-0.167,-0.002
"20260126005900",4464219,-0.094,-0.001
"20260126005920",4464220,-0.125,-0.001
"20260126005940",4464221,-0.08,-0.001
